iter	Passed	Remaining
0	28	11391
1	56	11211
2	79	10577
3	102	10167
4	129	10246
5	156	10300
6	180	10127
7	203	9991
8	230	10023
9	255	9974
10	283	10040
11	307	9931
12	331	9855
13	356	9816
14	382	9824
15	408	9815
16	435	9807
17	461	9795
18	486	9747
19	512	9745
20	537	9702
21	562	9667
22	585	9600
23	610	9570
24	634	9519
25	658	9470
26	683	9439
27	710	9441
28	735	9405
29	760	9373
30	784	9339
31	805	9268
32	831	9245
33	856	9221
34	882	9203
35	906	9165
36	930	9124
37	952	9076
38	978	9054
39	1002	9026
40	1028	9002
41	1051	8960
42	1075	8932
43	1100	8903
44	1125	8879
45	1150	8851
46	1180	8864
47	1207	8858
48	1234	8840
49	1259	8816
50	1286	8806
51	1312	8781
52	1341	8784
53	1365	8751
54	1392	8734
55	1415	8698
56	1442	8682
57	1470	8669
58	1499	8668
59	1524	8639
60	1550	8617
61	1576	8593
62	1599	8556
63	1620	8508
64	1644	8477
65	1671	8456
66	1695	8428
67	1721	8404
68	1754	8416
69	1779	8387
70	1803	8357
71	1830	8338
72	1856	8318
73	1881	8289
74	1907	8265
75	1935	8249
76	1960	8223
77	1984	8192
78	2009	8164
79	2034	8137
80	2059	8110
81	2083	8078
82	2109	8056
83	2133	8025
84	2160	8006
85	2185	7978
86	2209	7950
87	2231	7911
88	2252	7872
89	2279	7850
90	2303	7821
91	2330	7803
92	2357	7781
93	2382	7755
94	2407	7728
95	2430	7696
96	2456	7672
97	2481	7648
98	2511	7635
99	2537	7612
100	2564	7590
101	2592	7572
102	2616	7543
103	2641	7517
104	2670	7502
105	2694	7473
106	2720	7448
107	2745	7423
108	2767	7388
109	2794	7366
110	2816	7334
111	2841	7307
112	2870	7290
113	2894	7262
114	2920	7238
115	2945	7210
116	2969	7182
117	2995	7158
118	3020	7132
119	3045	7105
120	3067	7073
121	3095	7054
122	3121	7030
123	3142	6995
124	3166	6965
125	3195	6948
126	3219	6920
127	3245	6896
128	3272	6874
129	3296	6845
130	3322	6821
131	3349	6800
132	3377	6779
133	3401	6753
134	3426	6726
135	3450	6698
136	3475	6671
137	3497	6639
138	3525	6619
139	3550	6593
140	3574	6566
141	3598	6538
142	3624	6513
143	3649	6487
144	3675	6464
145	3701	6439
146	3725	6411
147	3751	6387
148	3775	6359
149	3798	6331
150	3823	6304
151	3849	6280
152	3877	6260
153	3904	6237
154	3933	6216
155	3970	6210
156	3993	6180
157	4018	6154
158	4047	6134
159	4071	6107
160	4096	6080
161	4120	6054
162	4148	6031
163	4173	6005
164	4197	5978
165	4223	5953
166	4246	5925
167	4271	5898
168	4300	5877
169	4328	5855
170	4354	5831
171	4381	5807
172	4410	5787
173	4431	5755
174	4457	5731
175	4483	5706
176	4509	5681
177	4539	5661
178	4568	5640
179	4596	5617
180	4623	5593
181	4651	5572
182	4674	5543
183	4702	5520
184	4727	5494
185	4758	5474
186	4785	5450
187	4813	5428
188	4841	5405
189	4866	5378
190	4890	5351
191	4917	5327
192	4947	5306
193	4973	5281
194	4999	5255
195	5027	5233
196	5051	5205
197	5078	5180
198	5103	5154
199	5128	5128
200	5156	5105
201	5183	5081
202	5212	5058
203	5240	5035
204	5271	5014
205	5300	4991
206	5326	4966
207	5351	4939
208	5381	4917
209	5410	4895
210	5440	4872
211	5466	4847
212	5492	4822
213	5519	4797
214	5546	4772
215	5572	4747
216	5600	4723
217	5624	4696
218	5651	4671
219	5683	4649
220	5710	4624
221	5736	4599
222	5761	4573
223	5788	4548
224	5817	4525
225	5845	4500
226	5870	4474
227	5897	4449
228	5923	4423
229	5951	4398
230	5979	4374
231	6008	4351
232	6042	4331
233	6071	4307
234	6102	4284
235	6131	4260
236	6157	4234
237	6185	4210
238	6211	4184
239	6242	4161
240	6269	4136
241	6293	4108
242	6323	4085
243	6351	4061
244	6377	4034
245	6406	4010
246	6433	3985
247	6462	3961
248	6486	3933
249	6512	3907
250	6539	3882
251	6565	3855
252	6592	3830
253	6618	3804
254	6644	3778
255	6670	3751
256	6694	3724
257	6721	3699
258	6749	3674
259	6778	3650
260	6804	3623
261	6830	3597
262	6859	3573
263	6887	3548
264	6921	3525
265	6949	3501
266	6975	3474
267	7003	3449
268	7029	3423
269	7057	3398
270	7086	3373
271	7112	3346
272	7139	3321
273	7166	3295
274	7191	3268
275	7217	3242
276	7242	3216
277	7269	3190
278	7297	3164
279	7321	3137
280	7349	3112
281	7378	3087
282	7403	3060
283	7429	3034
284	7458	3009
285	7485	2983
286	7512	2957
287	7538	2931
288	7564	2905
289	7590	2879
290	7615	2852
291	7644	2827
292	7666	2799
293	7692	2773
294	7718	2747
295	7742	2720
296	7766	2693
297	7796	2668
298	7828	2644
299	7856	2618
300	7881	2592
301	7909	2566
302	7941	2542
303	7970	2516
304	8001	2492
305	8030	2466
306	8059	2441
307	8087	2415
308	8117	2390
309	8142	2363
310	8170	2338
311	8200	2312
312	8232	2288
313	8259	2262
314	8285	2235
315	8313	2209
316	8339	2183
317	8370	2158
318	8400	2133
319	8429	2107
320	8460	2082
321	8486	2055
322	8514	2029
323	8539	2003
324	8568	1977
325	8596	1951
326	8625	1925
327	8653	1899
328	8680	1873
329	8704	1846
330	8733	1820
331	8759	1794
332	8787	1768
333	8815	1741
334	8844	1716
335	8870	1689
336	8898	1663
337	8925	1637
338	8948	1610
339	8977	1584
340	9006	1558
341	9034	1532
342	9062	1505
343	9087	1479
344	9113	1452
345	9138	1426
346	9166	1400
347	9195	1374
348	9222	1347
349	9249	1321
350	9276	1295
351	9305	1268
352	9331	1242
353	9360	1216
354	9385	1189
355	9416	1163
356	9444	1137
357	9471	1111
358	9498	1084
359	9527	1058
360	9553	1032
361	9578	1005
362	9603	978
363	9630	952
364	9658	926
365	9686	899
366	9713	873
367	9742	847
368	9767	820
369	9793	794
370	9824	767
371	9854	741
372	9881	715
373	9912	689
374	9939	662
375	9965	636
376	9994	609
377	10023	583
378	10050	556
379	10077	530
380	10105	503
381	10130	477
382	10153	450
383	10184	424
384	10210	397
385	10234	371
386	10259	344
387	10285	318
388	10310	291
389	10335	265
390	10363	238
391	10387	211
392	10411	185
393	10439	158
394	10463	132
395	10489	105
396	10516	79
397	10544	52
398	10569	26
399	10592	0
